timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742003730678,194,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,,true,,3441,971,9,14,null,0,2101,0
1742003732778,194,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,3441,971,9,14,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,194,0,0
1742003732319,782,02_01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-27,,true,,5664,529,4,14,null,0,1,571
1742003732320,782,02_01_OpenURL,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-27,text,true,,5664,529,4,14,https://petstore.octoperf.com/actions/Catalog.action,781,0,571
1742003732201,980,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,,true,,7116,988,9,14,null,0,2,587
1742003732201,777,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,text,true,,1452,459,9,14,https://petstore.octoperf.com/,777,0,587
1742003732979,203,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-54,text,true,,5664,529,9,14,https://petstore.octoperf.com/actions/Catalog.action,203,0,0
1742003732248,979,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,,true,,6438,1094,10,15,null,0,9,566
1742003732255,759,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,text,true,,1452,512,9,14,https://petstore.octoperf.com/,759,0,566
1742003733015,220,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-61,text,true,,4986,582,10,15,https://petstore.octoperf.com/actions/Catalog.action,217,0,0
